,Original Article,Original Summary,ensemble,tm,luhn,lsa,tr,lex,tm luhn,tm lsa,tm tr,tm lex,luhn lsa,luhn tr,luhn lex,lsa tr,lsa lex,tr lex,tm luhn lsa,tm luhn tr,tm luhn lex,tm lsa tr,tm lsa lex,tm tr lex,luh lsa tr,luhn lsa lex,luhn tr lex,lsa tr lex,luhn lsa tr lex,tm lsa tr lex,tm luhn tr lex,tm luhn lsa lex,tm luhn lsa tr
rouge1_fmeasure,tensor(0.0359),tensor(1.),tensor(0.2566),tensor(0.2442),tensor(0.2389),tensor(0.2201),tensor(0.2838),tensor(0.2835),tensor(0.2427),tensor(0.2498),tensor(0.2448),tensor(0.2639),tensor(0.2468),tensor(0.2394),tensor(0.2638),tensor(0.2241),tensor(0.2749),tensor(0.2838),tensor(0.2460),tensor(0.2423),tensor(0.2542),tensor(0.2510),tensor(0.2685),tensor(0.2634),tensor(0.2468),tensor(0.2648),tensor(0.2638),tensor(0.2741),tensor(0.2639),tensor(0.2679),tensor(0.2548),tensor(0.2583),tensor(0.2465)
rouge1_precision,tensor(0.0184),tensor(1.),tensor(0.1751),tensor(0.1655),tensor(0.1584),tensor(0.1996),tensor(0.2034),tensor(0.2029),tensor(0.1614),tensor(0.1824),tensor(0.1659),tensor(0.1808),tensor(0.1778),tensor(0.1587),tensor(0.1782),tensor(0.1995),tensor(0.2174),tensor(0.2022),tensor(0.1663),tensor(0.1610),tensor(0.1710),tensor(0.1805),tensor(0.1892),tensor(0.1804),tensor(0.1761),tensor(0.1849),tensor(0.1783),tensor(0.2151),tensor(0.1840),tensor(0.1884),tensor(0.1714),tensor(0.1762),tensor(0.1664)
rouge1_recall,tensor(0.8958),tensor(1.),tensor(0.4947),tensor(0.4772),tensor(0.4973),tensor(0.2662),tensor(0.4806),tensor(0.4850),tensor(0.5001),tensor(0.4154),tensor(0.4787),tensor(0.5000),tensor(0.4241),tensor(0.4974),tensor(0.5198),tensor(0.2738),tensor(0.3951),tensor(0.4882),tensor(0.4871),tensor(0.4999),tensor(0.5073),tensor(0.4300),tensor(0.4734),tensor(0.4995),tensor(0.4303),tensor(0.4829),tensor(0.5192),tensor(0.3990),tensor(0.4824),tensor(0.4746),tensor(0.5081),tensor(0.4975),tensor(0.4892)
rouge2_fmeasure,tensor(0.0180),tensor(1.),tensor(0.0582),tensor(0.0556),tensor(0.0513),tensor(0.0420),tensor(0.0552),tensor(0.0651),tensor(0.0568),tensor(0.0524),tensor(0.0555),tensor(0.0620),tensor(0.0465),tensor(0.0513),tensor(0.0610),tensor(0.0413),tensor(0.0576),tensor(0.0652),tensor(0.0544),tensor(0.0564),tensor(0.0609),tensor(0.0531),tensor(0.0603),tensor(0.0616),tensor(0.0468),tensor(0.0582),tensor(0.0609),tensor(0.0569),tensor(0.0569),tensor(0.0605),tensor(0.0611),tensor(0.0592),tensor(0.0546)
rouge2_precision,tensor(0.0092),tensor(1.),tensor(0.0395),tensor(0.0376),tensor(0.0339),tensor(0.0368),tensor(0.0394),tensor(0.0463),tensor(0.0377),tensor(0.0380),tensor(0.0375),tensor(0.0423),tensor(0.0334),tensor(0.0339),tensor(0.0410),tensor(0.0354),tensor(0.0450),tensor(0.0462),tensor(0.0368),tensor(0.0373),tensor(0.0408),tensor(0.0381),tensor(0.0422),tensor(0.0420),tensor(0.0333),tensor(0.0404),tensor(0.0409),tensor(0.0441),tensor(0.0395),tensor(0.0423),tensor(0.0409),tensor(0.0402),tensor(0.0369)
rouge2_recall,tensor(0.4555),tensor(1.),tensor(0.1134),tensor(0.1099),tensor(0.1075),tensor(0.0521),tensor(0.0938),tensor(0.1129),tensor(0.1174),tensor(0.0882),tensor(0.1097),tensor(0.1183),tensor(0.0804),tensor(0.1075),tensor(0.1217),tensor(0.0518),tensor(0.0848),tensor(0.1137),tensor(0.1075),tensor(0.1172),tensor(0.1234),tensor(0.0913),tensor(0.1080),tensor(0.1180),tensor(0.0820),tensor(0.1073),tensor(0.1211),tensor(0.0848),tensor(0.1052),tensor(0.1089),tensor(0.1236),tensor(0.1154),tensor(0.1084)
rougeL_fmeasure,tensor(0.0263),tensor(1.),tensor(0.1369),tensor(0.1284),tensor(0.1214),tensor(0.1375),tensor(0.1405),tensor(0.1502),tensor(0.1263),tensor(0.1413),tensor(0.1291),tensor(0.1390),tensor(0.1336),tensor(0.1220),tensor(0.1366),tensor(0.1387),tensor(0.1478),tensor(0.1514),tensor(0.1330),tensor(0.1268),tensor(0.1347),tensor(0.1405),tensor(0.1434),tensor(0.1387),tensor(0.1341),tensor(0.1415),tensor(0.1366),tensor(0.1475),tensor(0.1410),tensor(0.1432),tensor(0.1348),tensor(0.1376),tensor(0.1318)
rougeL_precision,tensor(0.0135),tensor(1.),tensor(0.0935),tensor(0.0870),tensor(0.0802),tensor(0.1259),tensor(0.1005),tensor(0.1073),tensor(0.0840),tensor(0.1032),tensor(0.0875),tensor(0.0952),tensor(0.0964),tensor(0.0807),tensor(0.0921),tensor(0.1242),tensor(0.1167),tensor(0.1077),tensor(0.0900),tensor(0.0843),tensor(0.0905),tensor(0.1010),tensor(0.1010),tensor(0.0951),tensor(0.0959),tensor(0.0988),tensor(0.0921),tensor(0.1156),tensor(0.0983),tensor(0.1008),tensor(0.0906),tensor(0.0939),tensor(0.0890)
rougeL_recall,tensor(0.6640),tensor(1.),tensor(0.2636),tensor(0.2506),tensor(0.2546),tensor(0.1649),tensor(0.2385),tensor(0.2578),tensor(0.2605),tensor(0.2352),tensor(0.2522),tensor(0.2629),tensor(0.2294),tensor(0.2554),tensor(0.2706),tensor(0.1682),tensor(0.2131),tensor(0.2613),tensor(0.2630),tensor(0.2617),tensor(0.2694),tensor(0.2411),tensor(0.2532),tensor(0.2627),tensor(0.2332),tensor(0.2582),tensor(0.2703),tensor(0.2154),tensor(0.2579),tensor(0.2539),tensor(0.2694),tensor(0.2650),tensor(0.2613)
rougeLsum_fmeasure,tensor(0.0350),tensor(1.),tensor(0.2184),tensor(0.2055),tensor(0.1997),tensor(0.1967),tensor(0.2380),tensor(0.2438),tensor(0.2034),tensor(0.2161),tensor(0.2059),tensor(0.2224),tensor(0.2101),tensor(0.2002),tensor(0.2226),tensor(0.2001),tensor(0.2350),tensor(0.2436),tensor(0.2088),tensor(0.2023),tensor(0.2159),tensor(0.2166),tensor(0.2283),tensor(0.2218),tensor(0.2107),tensor(0.2240),tensor(0.2231),tensor(0.2356),tensor(0.2236),tensor(0.2281),tensor(0.2164),tensor(0.2209),tensor(0.2101)
rougeLsum_precision,tensor(0.0179),tensor(1.),tensor(0.1491),tensor(0.1393),tensor(0.1323),tensor(0.1795),tensor(0.1705),tensor(0.1746),tensor(0.1353),tensor(0.1580),tensor(0.1395),tensor(0.1524),tensor(0.1516),tensor(0.1327),tensor(0.1504),tensor(0.1789),tensor(0.1857),tensor(0.1737),tensor(0.1411),tensor(0.1344),tensor(0.1452),tensor(0.1558),tensor(0.1609),tensor(0.1520),tensor(0.1506),tensor(0.1565),tensor(0.1508),tensor(0.1847),tensor(0.1560),tensor(0.1604),tensor(0.1456),tensor(0.1508),tensor(0.1419)
rougeLsum_recall,tensor(0.8747),tensor(1.),tensor(0.4204),tensor(0.4017),tensor(0.4161),tensor(0.2369),tensor(0.4030),tensor(0.4161),tensor(0.4193),tensor(0.3587),tensor(0.4026),tensor(0.4209),tensor(0.3601),tensor(0.4166),tensor(0.4389),tensor(0.2437),tensor(0.3380),tensor(0.4182),tensor(0.4135),tensor(0.4175),tensor(0.4307),tensor(0.3705),tensor(0.4027),tensor(0.4203),tensor(0.3666),tensor(0.4085),tensor(0.4389),tensor(0.3432),tensor(0.4087),tensor(0.4041),tensor(0.4316),tensor(0.4248),tensor(0.4170)
