rouge1_fmeasure,rouge1_precision,rouge1_recall,rouge2_fmeasure,rouge2_precision,rouge2_recall,rougeL_fmeasure,rougeL_precision,rougeL_recall,rougeLsum_fmeasure,rougeLsum_precision,rougeLsum_recall
tensor(0.3661),tensor(0.3596),tensor(0.3727),tensor(0.0991),tensor(0.0973),tensor(0.1009),tensor(0.1786),tensor(0.1754),tensor(0.1818),tensor(0.3036),tensor(0.2982),tensor(0.3091)
tensor(0.1358),tensor(0.2245),tensor(0.0973),tensor(0.),tensor(0.),tensor(0.),tensor(0.0741),tensor(0.1224),tensor(0.0531),tensor(0.1235),tensor(0.2041),tensor(0.0885)
tensor(0.3103),tensor(0.3506),tensor(0.2784),tensor(0.1047),tensor(0.1184),tensor(0.0938),tensor(0.1839),tensor(0.2078),tensor(0.1649),tensor(0.2414),tensor(0.2727),tensor(0.2165)
tensor(0.0719),tensor(0.1852),tensor(0.0446),tensor(0.),tensor(0.),tensor(0.),tensor(0.0719),tensor(0.1852),tensor(0.0446),tensor(0.0576),tensor(0.1481),tensor(0.0357)
tensor(0.1931),tensor(0.4242),tensor(0.1250),tensor(0.0140),tensor(0.0312),tensor(0.0090),tensor(0.1241),tensor(0.2727),tensor(0.0804),tensor(0.1517),tensor(0.3333),tensor(0.0982)
tensor(0.2667),tensor(0.4348),tensor(0.1923),tensor(0.0135),tensor(0.0222),tensor(0.0097),tensor(0.1333),tensor(0.2174),tensor(0.0962),tensor(0.2267),tensor(0.3696),tensor(0.1635)
tensor(0.2516),tensor(0.3846),tensor(0.1869),tensor(0.0764),tensor(0.1176),tensor(0.0566),tensor(0.1887),tensor(0.2885),tensor(0.1402),tensor(0.2138),tensor(0.3269),tensor(0.1589)
tensor(0.3371),tensor(0.3750),tensor(0.3061),tensor(0.0568),tensor(0.0633),tensor(0.0515),tensor(0.1798),tensor(0.2000),tensor(0.1633),tensor(0.3034),tensor(0.3375),tensor(0.2755)
tensor(0.0968),tensor(0.2400),tensor(0.0606),tensor(0.),tensor(0.),tensor(0.),tensor(0.0484),tensor(0.1200),tensor(0.0303),tensor(0.0806),tensor(0.2000),tensor(0.0505)
tensor(0.2733),tensor(0.3860),tensor(0.2115),tensor(0.0252),tensor(0.0357),tensor(0.0194),tensor(0.1491),tensor(0.2105),tensor(0.1154),tensor(0.2236),tensor(0.3158),tensor(0.1731)
tensor(0.2250),tensor(0.3600),tensor(0.1636),tensor(0.0506),tensor(0.0816),tensor(0.0367),tensor(0.1000),tensor(0.1600),tensor(0.0727),tensor(0.1625),tensor(0.2600),tensor(0.1182)
tensor(0.3333),tensor(0.5200),tensor(0.2453),tensor(0.0779),tensor(0.1224),tensor(0.0571),tensor(0.1795),tensor(0.2800),tensor(0.1321),tensor(0.2436),tensor(0.3800),tensor(0.1792)
tensor(0.4020),tensor(0.4124),tensor(0.3922),tensor(0.0711),tensor(0.0729),tensor(0.0693),tensor(0.1809),tensor(0.1856),tensor(0.1765),tensor(0.2915),tensor(0.2990),tensor(0.2843)
tensor(0.2038),tensor(0.2909),tensor(0.1569),tensor(0.0258),tensor(0.0370),tensor(0.0198),tensor(0.0892),tensor(0.1273),tensor(0.0686),tensor(0.1783),tensor(0.2545),tensor(0.1373)
tensor(0.3180),tensor(0.2734),tensor(0.3800),tensor(0.0422),tensor(0.0362),tensor(0.0505),tensor(0.1423),tensor(0.1223),tensor(0.1700),tensor(0.2510),tensor(0.2158),tensor(0.3000)
tensor(0.0775),tensor(0.1515),tensor(0.0521),tensor(0.),tensor(0.),tensor(0.),tensor(0.0465),tensor(0.0909),tensor(0.0312),tensor(0.0620),tensor(0.1212),tensor(0.0417)
tensor(0.3378),tensor(0.5556),tensor(0.2427),tensor(0.0822),tensor(0.1364),tensor(0.0588),tensor(0.1622),tensor(0.2667),tensor(0.1165),tensor(0.2703),tensor(0.4444),tensor(0.1942)
tensor(0.2386),tensor(0.3500),tensor(0.1810),tensor(0.0345),tensor(0.0508),tensor(0.0261),tensor(0.1705),tensor(0.2500),tensor(0.1293),tensor(0.2273),tensor(0.3333),tensor(0.1724)
tensor(0.1840),tensor(0.3125),tensor(0.1304),tensor(0.),tensor(0.),tensor(0.),tensor(0.1227),tensor(0.2083),tensor(0.0870),tensor(0.1595),tensor(0.2708),tensor(0.1130)
tensor(0.2119),tensor(0.3478),tensor(0.1524),tensor(0.0268),tensor(0.0444),tensor(0.0192),tensor(0.1060),tensor(0.1739),tensor(0.0762),tensor(0.1854),tensor(0.3043),tensor(0.1333)
tensor(0.2604),tensor(0.2973),tensor(0.2316),tensor(0.0359),tensor(0.0411),tensor(0.0319),tensor(0.1302),tensor(0.1486),tensor(0.1158),tensor(0.1893),tensor(0.2162),tensor(0.1684)
tensor(0.1571),tensor(0.3667),tensor(0.1000),tensor(0.),tensor(0.),tensor(0.),tensor(0.1143),tensor(0.2667),tensor(0.0727),tensor(0.1571),tensor(0.3667),tensor(0.1000)
tensor(0.3804),tensor(0.4487),tensor(0.3302),tensor(0.0989),tensor(0.1169),tensor(0.0857),tensor(0.1848),tensor(0.2179),tensor(0.1604),tensor(0.2717),tensor(0.3205),tensor(0.2358)
tensor(0.1892),tensor(0.3111),tensor(0.1359),tensor(0.),tensor(0.),tensor(0.),tensor(0.1081),tensor(0.1778),tensor(0.0777),tensor(0.1757),tensor(0.2889),tensor(0.1262)
tensor(0.3743),tensor(0.4638),tensor(0.3137),tensor(0.0237),tensor(0.0294),tensor(0.0198),tensor(0.1988),tensor(0.2464),tensor(0.1667),tensor(0.2924),tensor(0.3623),tensor(0.2451)
tensor(0.3604),tensor(0.3883),tensor(0.3361),tensor(0.0545),tensor(0.0588),tensor(0.0508),tensor(0.1802),tensor(0.1942),tensor(0.1681),tensor(0.3243),tensor(0.3495),tensor(0.3025)
tensor(0.2012),tensor(0.3036),tensor(0.1504),tensor(0.0120),tensor(0.0182),tensor(0.0089),tensor(0.1065),tensor(0.1607),tensor(0.0796),tensor(0.1657),tensor(0.2500),tensor(0.1239)
tensor(0.0448),tensor(0.1250),tensor(0.0273),tensor(0.),tensor(0.),tensor(0.),tensor(0.0299),tensor(0.0833),tensor(0.0182),tensor(0.0448),tensor(0.1250),tensor(0.0273)
tensor(0.2036),tensor(0.2698),tensor(0.1635),tensor(0.0121),tensor(0.0161),tensor(0.0097),tensor(0.0958),tensor(0.1270),tensor(0.0769),tensor(0.1796),tensor(0.2381),tensor(0.1442)
tensor(0.3200),tensor(0.4828),tensor(0.2393),tensor(0.1272),tensor(0.1930),tensor(0.0948),tensor(0.1943),tensor(0.2931),tensor(0.1453),tensor(0.3086),tensor(0.4655),tensor(0.2308)
tensor(0.3810),tensor(0.4040),tensor(0.3604),tensor(0.0769),tensor(0.0816),tensor(0.0727),tensor(0.1714),tensor(0.1818),tensor(0.1622),tensor(0.3333),tensor(0.3535),tensor(0.3153)
tensor(0.1829),tensor(0.3333),tensor(0.1261),tensor(0.0370),tensor(0.0682),tensor(0.0254),tensor(0.1341),tensor(0.2444),tensor(0.0924),tensor(0.1707),tensor(0.3111),tensor(0.1176)
tensor(0.1687),tensor(0.2333),tensor(0.1321),tensor(0.),tensor(0.),tensor(0.),tensor(0.0843),tensor(0.1167),tensor(0.0660),tensor(0.1687),tensor(0.2333),tensor(0.1321)
tensor(0.1575),tensor(0.4000),tensor(0.0980),tensor(0.),tensor(0.),tensor(0.),tensor(0.0945),tensor(0.2400),tensor(0.0588),tensor(0.1417),tensor(0.3600),tensor(0.0882)
tensor(0.2200),tensor(0.2340),tensor(0.2075),tensor(0.0303),tensor(0.0323),tensor(0.0286),tensor(0.1500),tensor(0.1596),tensor(0.1415),tensor(0.2200),tensor(0.2340),tensor(0.2075)
tensor(0.3800),tensor(0.4524),tensor(0.3276),tensor(0.1010),tensor(0.1205),tensor(0.0870),tensor(0.1700),tensor(0.2024),tensor(0.1466),tensor(0.3100),tensor(0.3690),tensor(0.2672)
tensor(0.2013),tensor(0.3846),tensor(0.1364),tensor(0.0136),tensor(0.0263),tensor(0.0092),tensor(0.1342),tensor(0.2564),tensor(0.0909),tensor(0.2013),tensor(0.3846),tensor(0.1364)
tensor(0.3230),tensor(0.4906),tensor(0.2407),tensor(0.0881),tensor(0.1346),tensor(0.0654),tensor(0.1615),tensor(0.2453),tensor(0.1204),tensor(0.2609),tensor(0.3962),tensor(0.1944)
tensor(0.3445),tensor(0.3462),tensor(0.3429),tensor(0.0483),tensor(0.0485),tensor(0.0481),tensor(0.1722),tensor(0.1731),tensor(0.1714),tensor(0.2679),tensor(0.2692),tensor(0.2667)
tensor(0.3284),tensor(0.3548),tensor(0.3056),tensor(0.0905),tensor(0.0978),tensor(0.0841),tensor(0.1791),tensor(0.1935),tensor(0.1667),tensor(0.2687),tensor(0.2903),tensor(0.2500)
tensor(0.1781),tensor(0.3939),tensor(0.1150),tensor(0.0139),tensor(0.0312),tensor(0.0089),tensor(0.0959),tensor(0.2121),tensor(0.0619),tensor(0.1507),tensor(0.3333),tensor(0.0973)
tensor(0.0476),tensor(0.1667),tensor(0.0278),tensor(0.),tensor(0.),tensor(0.),tensor(0.0476),tensor(0.1667),tensor(0.0278),tensor(0.0476),tensor(0.1667),tensor(0.0278)
tensor(0.1857),tensor(0.3611),tensor(0.1250),tensor(0.0725),tensor(0.1429),tensor(0.0485),tensor(0.1429),tensor(0.2778),tensor(0.0962),tensor(0.1714),tensor(0.3333),tensor(0.1154)
tensor(0.0851),tensor(0.2222),tensor(0.0526),tensor(0.0144),tensor(0.0385),tensor(0.0088),tensor(0.0709),tensor(0.1852),tensor(0.0439),tensor(0.0851),tensor(0.2222),tensor(0.0526)
tensor(0.3858),tensor(0.4130),tensor(0.3619),tensor(0.0923),tensor(0.0989),tensor(0.0865),tensor(0.2030),tensor(0.2174),tensor(0.1905),tensor(0.2538),tensor(0.2717),tensor(0.2381)
tensor(0.2619),tensor(0.3929),tensor(0.1964),tensor(0.),tensor(0.),tensor(0.),tensor(0.1310),tensor(0.1964),tensor(0.0982),tensor(0.2143),tensor(0.3214),tensor(0.1607)
tensor(0.0708),tensor(0.3333),tensor(0.0396),tensor(0.0180),tensor(0.0909),tensor(0.0100),tensor(0.0531),tensor(0.2500),tensor(0.0297),tensor(0.0708),tensor(0.3333),tensor(0.0396)
tensor(0.2375),tensor(0.3333),tensor(0.1845),tensor(0.0506),tensor(0.0714),tensor(0.0392),tensor(0.1375),tensor(0.1930),tensor(0.1068),tensor(0.2000),tensor(0.2807),tensor(0.1553)
tensor(0.3000),tensor(0.4286),tensor(0.2308),tensor(0.0380),tensor(0.0545),tensor(0.0291),tensor(0.1500),tensor(0.2143),tensor(0.1154),tensor(0.2500),tensor(0.3571),tensor(0.1923)
tensor(0.2486),tensor(0.3438),tensor(0.1947),tensor(0.0457),tensor(0.0635),tensor(0.0357),tensor(0.1469),tensor(0.2031),tensor(0.1150),tensor(0.1921),tensor(0.2656),tensor(0.1504)
