,Original Article,Original Summary,ensemble,tm,luhn,lsa,tr,lex,tm luhn,tm lsa,tm tr,tm lex,luhn lsa,luhn tr,luhn lex,lsa tr,lsa lex,tr lex,tm luhn lsa,tm luhn tr,tm luhn lex,tm lsa tr,tm lsa lex,tm tr lex,luh lsa tr,luhn lsa lex,luhn tr lex,lsa tr lex,luhn lsa tr lex,tm lsa tr lex,tm luhn tr lex,tm luhn lsa lex,tm luhn lsa tr
rouge1_fmeasure,tensor(0.0363),tensor(0.3747),tensor(0.2534),tensor(0.2352),tensor(0.2339),tensor(0.2127),tensor(0.2825),tensor(0.2842),tensor(0.2364),tensor(0.2474),tensor(0.2357),tensor(0.2596),tensor(0.2458),tensor(0.2342),tensor(0.2596),tensor(0.2188),tensor(0.2664),tensor(0.2854),tensor(0.2411),tensor(0.2360),tensor(0.2461),tensor(0.2461),tensor(0.2666),tensor(0.2586),tensor(0.2451),tensor(0.2635),tensor(0.2604),tensor(0.2652),tensor(0.2632),tensor(0.2666),tensor(0.2467),tensor(0.2542),tensor(0.2399)
rouge1_precision,tensor(0.0186),tensor(0.3770),tensor(0.1734),tensor(0.1595),tensor(0.1551),tensor(0.1969),tensor(0.2029),tensor(0.2040),tensor(0.1575),tensor(0.1822),tensor(0.1599),tensor(0.1783),tensor(0.1777),tensor(0.1554),tensor(0.1757),tensor(0.1974),tensor(0.2129),tensor(0.2039),tensor(0.1633),tensor(0.1572),tensor(0.1656),tensor(0.1781),tensor(0.1888),tensor(0.1775),tensor(0.1756),tensor(0.1849),tensor(0.1763),tensor(0.2103),tensor(0.1844),tensor(0.1884),tensor(0.1660),tensor(0.1740),tensor(0.1623)
rouge1_recall,tensor(0.8969),tensor(0.3732),tensor(0.4853),tensor(0.4583),tensor(0.4864),tensor(0.2533),tensor(0.4756),tensor(0.4833),tensor(0.4851),tensor(0.4068),tensor(0.4592),tensor(0.4889),tensor(0.4198),tensor(0.4859),tensor(0.5090),tensor(0.2634),tensor(0.3774),tensor(0.4880),tensor(0.4745),tensor(0.4845),tensor(0.4899),tensor(0.4183),tensor(0.4665),tensor(0.4876),tensor(0.4245),tensor(0.4774),tensor(0.5099),tensor(0.3806),tensor(0.4778),tensor(0.4688),tensor(0.4908),tensor(0.4863),tensor(0.4736)
rouge2_fmeasure,tensor(0.0170),tensor(0.0842),tensor(0.0551),tensor(0.0470),tensor(0.0461),tensor(0.0387),tensor(0.0541),tensor(0.0629),tensor(0.0490),tensor(0.0490),tensor(0.0474),tensor(0.0583),tensor(0.0456),tensor(0.0463),tensor(0.0602),tensor(0.0391),tensor(0.0534),tensor(0.0627),tensor(0.0512),tensor(0.0492),tensor(0.0556),tensor(0.0481),tensor(0.0557),tensor(0.0575),tensor(0.0461),tensor(0.0591),tensor(0.0603),tensor(0.0532),tensor(0.0584),tensor(0.0554),tensor(0.0555),tensor(0.0560),tensor(0.0498)
rouge2_precision,tensor(0.0087),tensor(0.0847),tensor(0.0376),tensor(0.0317),tensor(0.0304),tensor(0.0345),tensor(0.0386),tensor(0.0450),tensor(0.0325),tensor(0.0361),tensor(0.0320),tensor(0.0399),tensor(0.0328),tensor(0.0306),tensor(0.0406),tensor(0.0347),tensor(0.0424),tensor(0.0446),tensor(0.0346),tensor(0.0326),tensor(0.0373),tensor(0.0347),tensor(0.0394),tensor(0.0393),tensor(0.0329),tensor(0.0414),tensor(0.0407),tensor(0.0419),tensor(0.0409),tensor(0.0390),tensor(0.0372),tensor(0.0383),tensor(0.0336)
rouge2_recall,tensor(0.4305),tensor(0.0839),tensor(0.1060),tensor(0.0929),tensor(0.0975),tensor(0.0470),tensor(0.0919),tensor(0.1082),tensor(0.1018),tensor(0.0807),tensor(0.0939),tensor(0.1110),tensor(0.0780),tensor(0.0976),tensor(0.1195),tensor(0.0477),tensor(0.0766),tensor(0.1083),tensor(0.1014),tensor(0.1024),tensor(0.1120),tensor(0.0817),tensor(0.0981),tensor(0.1101),tensor(0.0799),tensor(0.1079),tensor(0.1197),tensor(0.0774),tensor(0.1068),tensor(0.0980),tensor(0.1118),tensor(0.1076),tensor(0.0992)
rougeL_fmeasure,tensor(0.0260),tensor(0.1941),tensor(0.1364),tensor(0.1267),tensor(0.1214),tensor(0.1286),tensor(0.1410),tensor(0.1433),tensor(0.1259),tensor(0.1391),tensor(0.1295),tensor(0.1380),tensor(0.1312),tensor(0.1206),tensor(0.1356),tensor(0.1326),tensor(0.1459),tensor(0.1440),tensor(0.1270),tensor(0.1262),tensor(0.1328),tensor(0.1371),tensor(0.1423),tensor(0.1382),tensor(0.1297),tensor(0.1390),tensor(0.1366),tensor(0.1456),tensor(0.1370),tensor(0.1423),tensor(0.1331),tensor(0.1363),tensor(0.1261)
rougeL_precision,tensor(0.0133),tensor(0.1951),tensor(0.0934),tensor(0.0859),tensor(0.0805),tensor(0.1209),tensor(0.1011),tensor(0.1028),tensor(0.0838),tensor(0.1025),tensor(0.0878),tensor(0.0946),tensor(0.0949),tensor(0.0799),tensor(0.0916),tensor(0.1208),tensor(0.1167),tensor(0.1027),tensor(0.0859),tensor(0.0839),tensor(0.0894),tensor(0.0990),tensor(0.1007),tensor(0.0947),tensor(0.0930),tensor(0.0974),tensor(0.0923),tensor(0.1154),tensor(0.0959),tensor(0.1005),tensor(0.0895),tensor(0.0933),tensor(0.0852)
rougeL_recall,tensor(0.6479),tensor(0.1934),tensor(0.2607),tensor(0.2473),tensor(0.2533),tensor(0.1512),tensor(0.2381),tensor(0.2447),tensor(0.2590),tensor(0.2295),tensor(0.2525),tensor(0.2607),tensor(0.2237),tensor(0.2515),tensor(0.2676),tensor(0.1581),tensor(0.2067),tensor(0.2470),tensor(0.2506),tensor(0.2598),tensor(0.2646),tensor(0.2338),tensor(0.2493),tensor(0.2614),tensor(0.2243),tensor(0.2528),tensor(0.2691),tensor(0.2094),tensor(0.2499),tensor(0.2503),tensor(0.2650),tensor(0.2602),tensor(0.2497)
rougeLsum_fmeasure,tensor(0.0351),tensor(0.3368),tensor(0.2153),tensor(0.1972),tensor(0.1947),tensor(0.1880),tensor(0.2354),tensor(0.2390),tensor(0.1955),tensor(0.2155),tensor(0.1982),tensor(0.2189),tensor(0.2088),tensor(0.1958),tensor(0.2187),tensor(0.1923),tensor(0.2299),tensor(0.2393),tensor(0.2005),tensor(0.1957),tensor(0.2070),tensor(0.2129),tensor(0.2236),tensor(0.2176),tensor(0.2086),tensor(0.2217),tensor(0.2187),tensor(0.2286),tensor(0.2205),tensor(0.2229),tensor(0.2075),tensor(0.2158),tensor(0.2008)
rougeLsum_precision,tensor(0.0180),tensor(0.3389),tensor(0.1474),tensor(0.1338),tensor(0.1291),tensor(0.1745),tensor(0.1690),tensor(0.1718),tensor(0.1302),tensor(0.1589),tensor(0.1346),tensor(0.1503),tensor(0.1511),tensor(0.1300),tensor(0.1480),tensor(0.1734),tensor(0.1840),tensor(0.1711),tensor(0.1359),tensor(0.1303),tensor(0.1393),tensor(0.1541),tensor(0.1584),tensor(0.1494),tensor(0.1496),tensor(0.1557),tensor(0.1481),tensor(0.1813),tensor(0.1545),tensor(0.1575),tensor(0.1397),tensor(0.1478),tensor(0.1360)
rougeLsum_recall,tensor(0.8699),tensor(0.3355),tensor(0.4118),tensor(0.3837),tensor(0.4046),tensor(0.2240),tensor(0.3964),tensor(0.4055),tensor(0.4013),tensor(0.3538),tensor(0.3859),tensor(0.4121),tensor(0.3561),tensor(0.4057),tensor(0.4288),tensor(0.2314),tensor(0.3253),tensor(0.4083),tensor(0.3937),tensor(0.4021),tensor(0.4118),tensor(0.3615),tensor(0.3909),tensor(0.4101),tensor(0.3606),tensor(0.4010),tensor(0.4281),tensor(0.3280),tensor(0.3999),tensor(0.3915),tensor(0.4126),tensor(0.4122),tensor(0.3955)
